code	count	old	new	gain
77	11	d	i	7.458
11	9	p	des	53.887
16	9	q	ere	11.996
3	8	n	les	20.019
123	7	l	NULL	59.486
7	7	o	on	10.524
87	7	f	l	15.181
112	6	l	an	12.370
51	6	y	i	23.757
58	6	z	u	73.696
13	5	p	l	18.503
14	5	p	s	6.223
70	5	b	s	26.692
73	5	c	est	6.384
117	4	m	ii	21.499
127	4	NULL	des	15.035
5	4	n	ent	10.939
66	4	b	les	23.248
91	4	g	vi	7.757
100	3	h	ev	18.057
109	3	k	ent	72.793
119	3	m	il	7.174
120	3	m	des	19.104
20	3	q	s	65.400
30	3	s	qve	13.977
36	3	u	ss	10.283
53	3	y	iev	22.465
54	3	y	en	12.673
59	3	z	vr	6.200
94	3	g	s	21.069
121	2	NULL	is	10.740
131	2	NULL	d	3.232
135	2	NULL	ent	4.370
141	2	NULL	qve	5.248
17	2	q	ve	17.872
40	2	u	ede	10.499
57	2	z	y	8.275
89	2	f	vo	14.599
92	2	g	qve	3.120
10	1	o	iev	4.031
111	1	l	qv	4.333
122	1	NULL	ne	4.130
124	1	NULL	et	3.197
136	1	uingt	res	14.291
137	1	NULL	ent	3.695
44	1	v	qve	5.302
65	1	a	te	11.459
88	1	f	qve	4.387
98	1	h	qve	14.121
11	9	des	les	4.160
16	9	ere	ede	14.582
3	8	les	ent	12.574
7	7	on	qve	3.692
112	6	an	i	10.906
127	4	des	les	5.032
130	4	NULL	ent	10.512
18	4	q	les	5.684
119	3	il	qvi	3.209
36	3	ss	c	6.432
4	3	n	i	3.032
80	1	d	nc	3.590
112	6	i	l	9.390
91	4	vi	est	9.604
120	3	des	les	4.091
