line	signs_A	signs_B	agree	columns	share
04503_p1_L05	18	18	18	18	1.000
04503_p1_L06	16	16	16	16	1.000
04503_p1_L07	16	16	15	16	0.938
04503_p1_L08	13	13	12	13	0.923
04503_p1_L09	16	16	16	16	1.000
04503_p1_L10	13	13	13	13	1.000
04503_p1_L11	17	17	17	17	1.000
04503_p1_L12	18	18	18	18	1.000
04503_p1_L13	17	17	17	17	1.000
04503_p1_L14	16	16	16	16	1.000
04503_p1_L15	16	16	16	16	1.000
04503_p1_L16	14	14	14	14	1.000
04503_p1_L17	12	12	12	12	1.000
04503_p1_L18	10	10	10	10	1.000
04503_p1_L19	14	14	14	14	1.000
04503_p1_L20	16	16	16	16	1.000
04503_p1_L21	16	16	16	16	1.000
04503_p1_L22	15	15	15	15	1.000
