identifier	title	year	why
bim_eighteenth-century_a-collection-of-state-pa_1740	A collection of State papers, relating to affairs in the reigns of King Henry VIII. ... Queen Elizabeth, from the year 1542 to 1570. Transcribed from original letters and other authentick memorials, never before publish'd, left by William Cecill Lord Burghley, ... By Samuel Haynes, ... - 1740	1740	(a) Haynes 1740 Burghley State Papers
bim_eighteenth-century_a-collection-of-state-pa_murdin-william_1759	A collection of state papers relating to affairs in the reign of Queen Elizabeth, from the year 1571 to 1596. Transcribed from original papers ... left by William Cecil Lord Burghley, ... By William Murdin, ... 1759	1759	(a) Murdin 1759 Burghley State Papers
cu31924091786032	The Hamilton papers. Letters and papers illustrating the political relations of England and Scotland in the XVIth century	1890	(a) Hamilton Papers, Camden Society
cu31924091786040	The Hamilton papers. Letters and papers illustrating the political relations of England and Scotland in the XVIth century	1890	(a) Hamilton Papers, Camden Society
hamiltonpapers00camduoft	The Hamilton Papers	1838	(a) Hamilton Papers, Camden Society
hamiltonpapersbe00hamirich	The Hamilton papers: being selections from original letter in the possession of His Grace the Duke of Hamilton and Brandon, relating to the years 1638-1650	1880	(a) Hamilton Papers, Camden Society
bim_eighteenth-century_a-full-view-of-the-publi_1740_1	A full view of the public transactions in the reign of Q. Elizabeth: or a particular account of all the memorable affairs of that Queen, transmitted down to us in a series of letters and other papers of state, ... published ... by Dr. Forbes. ... 1740: Vol 1	1740	(a) Forbes's Full View
bim_eighteenth-century_a-full-view-of-the-publi_1740_2	A full view of the public transactions in the reign of Q. Elizabeth: or a particular account of all the memorable affairs of that Queen, transmitted down to us in a series of letters and other papers of state, ... published ... by Dr. Forbes. ... 1740: Vol 2	1740	(a) Forbes's Full View
bim_eighteenth-century_an-historical-view-of-th_birch-thomas_1749	An historical view of the negotiations between the courts of England, France, and Brussels, from the year 1592 to 1617. Extracted chiefly from the MS. State-Papers of Sir Thomas Edmondes, ... and of Anthony Bacon, ... To which is added, a relation of the state of France, ... drawn up by Sir George Carew, ... By Thomas Birch, ... 1749	1749	(a) Birch's Negotiations
cabalasivescrini00londiala	Cabala : sive scrinia sacra : Mysteries of state and government in letters of illustrious persons and great agents in the reigns of Henry the Eighth, Queen Elizabeth, K: James, and the late King Charls : In two parts, in which the secrets of empire and public manage of affairs are contained : With many remarkable passages no where else published	1654	(a) Cabala (dedupe check)
borderpaperscale02grea	The border papers : Calendar of letters and papers relating to the affairs of the borders of England and Scotland preserved in Her Majesty's Public Record Office, London	1894	(a) Calendar of Border Papers
the-border-papers-v-1	The border papers : Calendar of letters and papers relating to the affairs of the borders of England and Scotland preserved in Her Majesty's Public Record Office, London, volume 1	1894	(a) Calendar of Border Papers
11576077bsb	Calendar of the Manuscripts of the Most Hon. the Marquis of Salisbury, K. G., etc. preserved at Hatfield House, Hertfordshire: Historical Manuscripts Commission. Presented to both Houses of Parliament by Command of Her Majesty. 4	1892	(a) HMC Salisbury (Hatfield) vols 1-15
calmanumarquisbath13greauoft	Calendar of the manuscripts of the Marquis of Bath, preserved at Longleat, Wiltshire ..	1904	(a) HMC Bath
calendarofmanusc03grea	Calendar of the manuscripts of the Marquis of Bath preserved at Longleat, Wiltshire	1904	(a) HMC Bath
calendarofmanusc02grea	Calendar of the manuscripts of the Marquis of Bath preserved at Longleat, Wiltshire	1904	(a) HMC Bath
calendarmanuscr00blatgoog	Calendar of the manuscripts of the Marquis of Bath preserved at Longleat ...	1907	(a) HMC Bath
calendarofmanusc01grea	Calendar of the manuscripts of the Marquis of Bath preserved at Longleat, Wiltshire	1904	(a) HMC Bath
buccleuchqueensb01greauoft	Report on the manuscripts of the Duke of Buccleuch and Queensberry, K.G., K.T., preserved at Montagu House, Whitehall	1899	(a) HMC Buccleuch
reportonmanuscri22grea_0	Report on the manuscripts of the Duke of Buccleuch and Queensberry, K.G., K.T., preserved at Montagu House, Whitehall	1899	(a) HMC Buccleuch
reportonmanuscri01grea_0	Report on the manuscripts of the Duke of Buccleuch and Queensberry, K.G., K.T., preserved at Montagu House, Whitehall	1899	(a) HMC Buccleuch
reportonmanuscri21grea	Report on the manuscripts of the Duke of Buccleuch and Queensberry, K.G., K.T., preserved at Montagu House, Whitehall	1899	(a) HMC Buccleuch
bim_eighteenth-century_original-papers-contain_macpherson-james_1775_1	Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. The whole arranged and published by James Macpherson. 1775: Vol 1	1775	(a) Macpherson's Original Papers 1775
