identifier	title	year	why
konunggustafiia01gustgoog	Konung Gustaf II Adolfs Skrifter	1861	Gustaf II Adolfs skrifter
konunggustafiia00gustgoog	Konung Gustaf II Adolfs skrifter	1861	Gustaf II Adolfs skrifter
handlingarrrand00scangoog	Handlingar rörande Skandinaviens historia. Kronologiskt register öfver de ...	1819	Handlingar rörande Skandinaviens historia
handlingarrrand02scangoog	Handlingar rörande Skandinaviens historia. Kronologiskt register öfver de ...	1824	Handlingar rörande Skandinaviens historia
handlingarrrand04scangoog	Handlingar rörande Skandinaviens historia. Kronologiskt register öfver de ...	1845	Handlingar rörande Skandinaviens historia
handlingarrrand02unkngoog	Handlingar rörande Skandinaviens historia	1856	Handlingar rörande Skandinaviens historia
handlingarrrand00swegoog	Handlingar rörande Skandinaviens historia	1819	Handlingar rörande Skandinaviens historia
handlingarrrand03scangoog	Handlingar rörande Skandinaviens historia. Kronologiskt register öfver de ...	1865	Handlingar rörande Skandinaviens historia
handlingarrrand04unkngoog	Handlingar rörande Skandinaviens historia	1816	Handlingar rörande Skandinaviens historia
handlingarrrand00handgoog	Handlingar rörande Skandinaviens historia. Kronologiskt register öfver de ...	1864	Handlingar rörande Skandinaviens historia
handlingarrrand01swegoog	Handlingar rörande Skandinaviens historia	1820	Handlingar rörande Skandinaviens historia
handlingarrrand06unkngoog	Handlingar rörande Skandinaviens historia	1821	Handlingar rörande Skandinaviens historia
handlingarrrand02swegoog	Handlingar rörande Skandinaviens historia	1822	Handlingar rörande Skandinaviens historia
handlingarrrand03swegoog	Handlingar rörande Skandinaviens historia, Volume 3	1817	Handlingar rörande Skandinaviens historia
handlingarrrand00unkngoog	Handlingar rörande Skandinaviens historia	1828	Handlingar rörande Skandinaviens historia
handlingarrrand01scangoog	Handlingar rörande Skandinaviens historia. Kronologiskt register öfver de ...	1858	Handlingar rörande Skandinaviens historia
handlingarrrand03unkngoog	Handlingar rörande Skandinaviens historia	1853	Handlingar rörande Skandinaviens historia
historiska-handlingar-del-21	Historiska handlingar del 21	1906	Historiska handlingar
historiskahandl01swegoog	Historiska handlingar	1861	Historiska handlingar
historiska-handlingar-del-24-1912	Historiska Handlingar del 24	1912	Historiska handlingar
historiskahandl00swegoog	Historiska handlingar	1861	Historiska handlingar
arkivtillupplys01mankgoog	Arkiv till upplysning om svenska krigens och krigsinrättningarnes historia	1854	Arkiv till upplysning om svenska krigens och krigsinrättningarnes historia
arkivtillupplys00mankgoog	Arkiv till upplysning om svenska krigens och krigsinrättningarnes historia	1854	Arkiv till upplysning om svenska krigens och krigsinrättningarnes historia
arkivtillupplys01kriggoog	Arkiv till upplysning on svenska krigens och krigsinrättningarnes historia. 3 bd	1861	svenska krigens (alt phrasing)
arkivtillupplys00kriggoog	Arkiv till upplysning on svenska krigens och krigsinrättningarnes historia. 3 bd	1854	svenska krigens (alt phrasing)
arkivtillupplys02kriggoog	Arkiv till upplysning on svenska krigens och krigsinrättningarnes historia. 3 bd	1860	svenska krigens (alt phrasing)
kongchristianden05chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristianden06chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristianden01chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristiande00chrigoog	Kong Christian den fjerdes egenhaendige breve	1887	Kong Christian den Fjerdes egenhaendige Breve
kongchristianden04chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristiande02chrigoog	Kong Christian den fjerdes egenhændige Breve, udg. ved C.F. Bricka og J.A. Fridericia. 7 Bder ...	1882	Kong Christian den Fjerdes egenhaendige Breve
kongchristianden02chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristianden07chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristianden03chriuoft	Kong Christian den fjerdes egenhaendige breve. Udg. ved C.F. Bricka og J.A. Fridericia	1878	Kong Christian den Fjerdes egenhaendige Breve
kongchristiande01chrigoog	Kong Christian den fjerdes egenhændige Breve, udg. ved C.F. Bricka og J.A. Fridericia. 7 Bder ...	1885	Kong Christian den Fjerdes egenhaendige Breve
danskekancellir00kancgoog	Danske Kancelliregistranter, 1535-1550, udg. ved. K. Erslev og W. Mollerup. (Sel. for Udg. af ...	1881	Danske Kancelliregistranter
danskekancellire00denm	Danske kancelliregistranter 1535-1550, udgivne ved Kr. Erslev og W. Mollerup af Selskabet for udgivelse af kilder til dansk historie	1881	Danske Kancelliregistranter
nyedanskemagazi00histgoog	Nye danske magazin	1794	Danske Magazin
danskemagazin00histgoog	Danske magazin	1843	Danske Magazin
danskemagazin01histgoog	Danske magazin	1843	Danske Magazin
nyedanskemagazi01histgoog	Nye danske magazin	1827	Danske Magazin
bub_gb_BdABAAAAYAAJ	Danske magazin	1843	Danske Magazin
danskemagazin05histgoog	Danske magazin	1897	Danske Magazin
bub_gb_5btDAQAAMAAJ	Danske magazin, indeholdende bidrag til den danske histories og det danske sprogs oplysning ..	1745	Danske Magazin
danskemagazin02histgoog	Danske magazin	1843	Danske Magazin
danskemagazin01unkngoog	Danske magazin	1745	Danske Magazin
danskemagazin03histgoog	Danske magazin	1843	Danske Magazin
nyedanskemagazi03histgoog	Nye danske magazin	1806	Danske Magazin
nyedanskemagazi04histgoog	Nye danske magazin	1810	Danske Magazin
danskemagazin04histgoog	Danske magazin	1843	Danske Magazin
danskemagazin06histgoog	Danske magazin	1843	Danske Magazin
nyedanskemagazi02histgoog	Nye danske magazin	1836	Danske Magazin
danskemagazin00unkngoog	Danske magazin	1745	Danske Magazin
danskemagazin02unkngoog	Danske magazin	1745	Danske Magazin
dieverhandlungen03irme	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer, Verhandlungen Schwedens ... mit Wallenstein
dieverhandlungen01irme	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer, Verhandlungen Schwedens ... mit Wallenstein
bub_gb_z4xDAAAAYAAJ	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer, Verhandlungen Schwedens ... mit Wallenstein
dieverhandlunge01irmegoog	Die Verhandlungen Schwedens und seiner Verbündeten mit Wallenstein und dem ...	1888	Irmer, Verhandlungen Schwedens ... mit Wallenstein
dieverhandlungen02irme	Die verhandlungen Schwedens und seiner verbündeten mit Wallenstein und dem Kaiser von 1631 bis 1634	1888	Irmer, Verhandlungen Schwedens ... mit Wallenstein
hamiltonpapersb00gardgoog	The Hamilton Papers: Being Selections from Original Letters in the Possession of His Grace the ...	1880	Hamilton Papers alt title
lauderdalepaper02laudgoog	The Lauderdale Papers	1884	Lauderdale Papers
lauderdalepaper01laudgoog	The Lauderdale Papers	1885	Lauderdale Papers
lauderdalepaper02airygoog	The Lauderdale papers	1884	Lauderdale Papers
lauderdalepapers03camduoft	The Lauderdale Papers	1838	Lauderdale Papers
lauderdalepaper00ofgoog	The Lauderdale papers	1884	Lauderdale Papers
lauderdalepaper00laudgoog	The Lauderdale Papers	1885	Lauderdale Papers
lauderdalepaper01airygoog	The Lauderdale Papers	1884	Lauderdale Papers
lauderdalepaper00airygoog	The Lauderdale Papers	1885	Lauderdale Papers
lauderdalepaper03laudgoog	The Lauderdale Papers	1884	Lauderdale Papers
lauderdalepapers01camduoft	The Lauderdale Papers	1838	Lauderdale Papers
collectionoforig02cart	A Collection of original letters and papers, concerning the affairs of England, from the year 1641 to 1660. : Found among the Duke of Ormonde's papers. By Tho. Carte, M.A	1739	Carte's Original Letters
bim_eighteenth-century_a-collection-of-original_1759_2	A collection of original letters and papers, concerning the affairs of England, from the year 1641 to 1660. Found among the Duke of Ormonde's papers. In two volumes. By Tho. Carte, M.A. 1759: Vol 2	1759	Carte's Original Letters
collectionoforig01cart	A Collection of original letters and papers, concerning the affairs of England, from the year 1641 to 1660. : Found among the Duke of Ormonde's papers. By Tho. Carte, M.A	1739	Carte's Original Letters
bim_eighteenth-century_a-collection-of-original_1759_1	A collection of original letters and papers, concerning the affairs of England, from the year 1641 to 1660. Found among the Duke of Ormonde's papers. In two volumes. By Tho. Carte, M.A. 1759: Vol 1	1759	Carte's Original Letters
india.history.resource.52660	The Miscellany of Wodrow Society; containing Tracts and Original Letters, chiefly Relating to the Ecclesiastical Affairs of Scotland, during the Sixteenth and Seventeenth Centuries, Vol. I	1844	Carte's Original Letters (subtitle)
miscellanyofwodr01lain	The miscellany of the Wodrow Society : containing tracts and original letters, chiefly relating to the ecclesiastical affairs of Scotland during the sixteenth and seventeenth centuries ..	1844	Carte's Original Letters (subtitle)
miscellanywodro01edingoog	The miscellany of the Wodrow Society: containing tracts and original letters, chiefly relating to the ecclesiastical affairs of Scotland during the sixteenth and seventeenth centuries ... Volume first	1844	Carte's Original Letters (subtitle)
miscellanyofwodr01wodr	The miscellany of the Wodrow Society: containing tracts and original letters, chiefly relating to the ecclesiastical affairs of Scotland during the sixteenth and seventeenth centuries. Selected and edited by David Laing	1844	Carte's Original Letters (subtitle)
miscellanywodro00edingoog	The miscellany of the Wodrow Society: containing tracts and original letters, chiefly relating to the ecclesiastical affairs of Scotland during the sixteenth and seventeenth centuries ... Volume first	1844	Carte's Original Letters (subtitle)
lettersofqueenhe00henr	Letters of Queen Henrietta Maria : including her private correspondence with Charles the First : collected from the public archives and private libraries of France and England	1857	Letters of Queen Henrietta Maria (Green 1857)
ungedrucktebrie01wallgoog	Ungedruckte Briefe Albrechts von Wallenstein und Gustav Adolfs des grossen ...	1830	Wallenstein Briefe/Akten loosened
wallensteineind00helbgoog	Werke und Briefe Bd. 4. Wallenstein / hrsg. von Frithjof Stock	2000	Wallenstein Briefe/Akten loosened
albrechtsvonwal01wallgoog	Albrechts von Wallenstein, des herzogs von Friedland und Mecklenburg : ungedruckte, eigenhändige vertrauliche briefe und amtliche schreiben aus den jahren 1627 bis 1634 an Arnheim (v. Arnimb) Aldringer, Gallas, Piccolomini und andere fürsten und feldherrn seiner zeit ; mit einer charakteristik des lebens und der feldzüge Wallenstein's	1828	Wallenstein Briefe/Akten loosened
albrechtsvonwal03wallgoog	Albrechts von Wallenstein ... ungedruckte, eigenhändige vertrauliche Briefe und amtliche ...	1828	Wallenstein Briefe/Akten loosened
ungedrucktebrie00zobegoog	Ungedruckte Briefe Albrechts von Wallenstein und Gustav Adolfs des grossen: Nebst einem Anhange ...	1830	Wallenstein Briefe/Akten loosened
