line	position	sign	confidence	alt	why
04614_p2_L01_a	1	21	M		agree-flagged
04614_p2_L01_a	2	82	H		agree
04614_p2_L01_a	3	71	H		agree
04614_p2_L01_a	4	16	H		agree
04614_p2_L01_a	5	101	H		agree
04614_p2_L01_a	6	26	H		agree
04614_p2_L01_a	7	83	H		agree
04614_p2_L01_a	8	w:car	M	B:w:bar	differ
04614_p2_L01_a	9	w:ainsi	H		agree
04614_p2_L01_a	10	w:avons	M	B:w:auions	differ
04614_p2_L01_a	11	83	H		agree
04614_p2_L01_a	12	27	H		agree
04614_p2_L01_a	13	32	H		agree
04614_p2_L01_a	14	84	H		agree
04614_p2_L01_a	15	72	H		agree
04614_p2_L01_a	16	7	H		agree
04614_p2_L01_a	17	1	H		agree
04614_p2_L01_a	18	33	H		agree
04614_p2_L01_a	19	21	H		agree
04614_p2_L01_a	20	81	H		agree
04614_p2_L01_a	21	102	H		agree
04614_p2_L01_a	22	4	H		agree
04614_p2_L01_a	23	34	H		agree
04614_p2_L01_a	24	76	H		agree
04614_p2_L01_b	1	87	H		agree
04614_p2_L01_b	2	35	M	B:7	differ
04614_p2_L01_b	3	22	H		agree
04614_p2_L01_b	4	63	H		agree
04614_p2_L01_b	5	105	H		agree
04614_p2_L01_b	6	74	H		agree
04614_p2_L01_b	7	34	H		agree
04614_p2_L01_b	8	83	H		agree
04614_p2_L01_b	9	25	H		agree
04614_p2_L01_b	10	30	H		agree
04614_p2_L01_b	11	4	H		agree
04614_p2_L01_b	12	24	H		agree
04614_p2_L01_b	13	70	H		agree
04614_p2_L01_b	14	81	H		agree
04614_p2_L01_b	15	26	H		agree
04614_p2_L01_b	16	29	H		agree
04614_p2_L01_b	17	31	H		agree
04614_p2_L01_b	18	61	H		agree
04614_p2_L01_b	19	112	M	A:-	gap
04614_p2_L01_b	20	111	M		agree-flagged
04614_p2_L01_b	21	115	M	B:-	gap
04614_p2_L01_b	22	36	H		agree
04614_p2_L01_b	23	5	H		agree
04614_p2_L01_b	24	96	H		agree
04614_p2_L01_c	1	61	H		agree
04614_p2_L01_c	2	26	H		agree
04614_p2_L01_c	3	75	H		agree
04614_p2_L01_c	4	65	H		agree
04614_p2_L01_c	5	36	H		agree
04614_p2_L01_c	6	6	H		agree
04614_p2_L01_c	7	23	H		agree
04614_p2_L01_c	8	19	H		agree
04614_p2_L01_c	9	40	H		agree
04614_p2_L01_c	10	105	H		agree
04614_p2_L01_c	11	111	H		agree
04614_p2_L01_c	12	56	H		agree
04614_p2_L01_c	13	29	H		agree
04614_p2_L01_c	14	82	H		agree
04614_p2_L01_c	15	24	H		agree
04614_p2_L01_c	16	7	H		agree
04614_p2_L01_c	17	1	H		agree
04614_p2_L01_c	18	31	H		agree
04614_p2_L01_c	19	10	H		agree
04614_p2_L01_c	20	69	H		agree
04614_p2_L01_c	21	112	H		agree
04614_p2_L01_c	22	102	H		agree
04614_p2_L01_c	23	81	H		agree
04614_p2_L01_c	24	94	M		agree-flagged
04614_p2_L01_c	25	85	H		agree
04614_p2_L01_c	26	28	H		agree
04614_p2_L01_d	1	76	H		agree
04614_p2_L01_d	2	82	H		agree
04614_p2_L01_d	3	29	H		agree
04614_p2_L01_d	4	83	H		agree
04614_p2_L01_d	5	25	H		agree
04614_p2_L01_d	6	4	H		agree
04614_p2_L01_d	7	104	H		agree
04614_p2_L01_d	8	23	H		agree
04614_p2_L01_d	9	80	H		agree
04614_p2_L01_d	10	40	H		agree
04614_p2_L01_d	11	85	H		agree
04614_p2_L01_d	12	26	H		agree
04614_p2_L01_d	13	118	H		agree
04614_p2_L01_d	14	10	H		agree
04614_p2_L01_d	15	105	H		agree
04614_p2_L01_d	16	30	H		agree
04614_p2_L01_d	17	82	H		agree
04614_p2_L01_d	18	31	H		agree
04614_p2_L01_d	19	61	M	B:62	differ
04614_p2_L01_d	20	40	H		agree
04614_p2_L01_d	21	21	H		agree
04614_p2_L01_d	22	6	M		agree-flagged
04614_p2_L01_d	23	2	M		agree-flagged
04614_p2_L01_d	24	35	H		agree
04614_p2_L02_a	1	39	H		agree
04614_p2_L02_a	2	5	H		agree
04614_p2_L02_a	3	76	H		agree
04614_p2_L02_a	4	85	H		agree
04614_p2_L02_a	5	117	H		agree
04614_p2_L02_a	6	104	H		agree
04614_p2_L02_a	7	120	H		agree
04614_p2_L02_a	8	10	H		agree
04614_p2_L02_a	9	103	H		agree
04614_p2_L02_a	10	28	H		agree
04614_p2_L02_a	11	12	H		agree
04614_p2_L02_a	12	6	H		agree
04614_p2_L02_a	13	36	H		agree
04614_p2_L02_a	14	21	H		agree
04614_p2_L02_a	15	111	H		agree
04614_p2_L02_a	16	84	H		agree
04614_p2_L02_a	17	40	H		agree
04614_p2_L02_a	18	25	H		agree
04614_p2_L02_a	19	24	H		agree
04614_p2_L02_a	20	81	H		agree
04614_p2_L02_a	21	31	H		agree
04614_p2_L02_a	22	24	M		agree-flagged
04614_p2_L02_a	23	61	H		agree
04614_p2_L02_a	24	101	H		agree
04614_p2_L02_b	1	26	H		agree
04614_p2_L02_b	2	31	H		agree
04614_p2_L02_b	3	84	M	B:5	differ
04614_p2_L02_b	4	77	H		agree
04614_p2_L02_b	5	84	H		agree
04614_p2_L02_b	6	73	H		agree
04614_p2_L02_b	7	81	H		agree
04614_p2_L02_b	8	112	H		agree
04614_p2_L02_b	9	63	H		agree
04614_p2_L02_b	10	114	H		agree
04614_p2_L02_b	11	8	H		agree
04614_p2_L02_b	12	1	H		agree
04614_p2_L02_b	13	14	H		agree
04614_p2_L02_b	14	62	H		agree
04614_p2_L02_b	15	101	H		agree
04614_p2_L02_b	16	82	H		agree
04614_p2_L02_b	17	21	H		agree
04614_p2_L02_b	18	63	H		agree
04614_p2_L02_b	19	33	H		agree
04614_p2_L02_b	20	10	H		agree
04614_p2_L02_b	21	2	H		agree
04614_p2_L02_b	22	65	H		agree
04614_p2_L02_b	23	75	H		agree
04614_p2_L02_b	24	29	H		agree
04614_p2_L02_b	25	34	H		agree
04614_p2_L02_c	1	100	H		agree
04614_p2_L02_c	2	81	H		agree
04614_p2_L02_c	3	38	M		agree-flagged
04614_p2_L02_c	4	24	H		agree
04614_p2_L02_c	5	61	H		agree
04614_p2_L02_c	6	2	H		agree
04614_p2_L02_c	7	67	H		agree
04614_p2_L02_c	8	61	H		agree
04614_p2_L02_c	9	3	H		agree
04614_p2_L02_c	10	34	H		agree
04614_p2_L02_c	11	81	H		agree
04614_p2_L02_c	12	22	H		agree
04614_p2_L02_c	13	80	H		agree
04614_p2_L02_c	14	85	H		agree
04614_p2_L02_c	15	79	H		agree
04614_p2_L02_c	16	102	M	B:101	differ
04614_p2_L02_c	17	71	M		agree-flagged
04614_p2_L02_c	18	31	H		agree
04614_p2_L02_c	19	11	M		agree-flagged
04614_p2_L02_c	20	21	H		agree
04614_p2_L02_c	21	81	H		agree
04614_p2_L02_c	22	120	H		agree
04614_p2_L02_c	23	101	H		agree
04614_p2_L02_c	24	21	H		agree
04614_p2_L02_d	1	118	H		agree
04614_p2_L02_d	2	10	H		agree
04614_p2_L02_d	3	105	H		agree
04614_p2_L02_d	4	30	H		agree
04614_p2_L02_d	5	40	H		agree
04614_p2_L02_d	6	5	H		agree
04614_p2_L02_d	7	76	H		agree
04614_p2_L02_d	8	82	H		agree
04614_p2_L02_d	9	119	H		agree
04614_p2_L02_d	10	102	H		agree
04614_p2_L02_d	11	120	H		agree
04614_p2_L02_d	12	9	M	B:0	differ
04614_p2_L02_d	13	104	H		agree
04614_p2_L02_d	14	30	H		agree
04614_p2_L02_d	15	85	H		agree
04614_p2_L02_d	16	21	H		agree
04614_p2_L02_d	17	89	M	B:84	differ
04614_p2_L02_d	18	14	H		agree
04614_p2_L02_d	19	8	H		agree
04614_p2_L02_d	20	2	H		agree
04614_p2_L02_d	21	76	H		agree
04614_p2_L02_d	22	81	H		agree
04614_p2_L02_d	23	21	H		agree
04614_p2_L02_d	24	10	H		agree
04614_p2_L03_a	1	2	H		agree
04614_p2_L03_a	2	32	M	B:31	differ
04614_p2_L03_a	3	112	H		agree
04614_p2_L03_a	4	81	H		agree
04614_p2_L03_a	5	30	H		agree
04614_p2_L03_a	6	85	H		agree
04614_p2_L03_a	7	29	H		agree
04614_p2_L03_a	8	31	H		agree
04614_p2_L03_a	9	63	H		agree
04614_p2_L03_a	10	37	M	B:34	differ
04614_p2_L03_a	11	28	H		agree
04614_p2_L03_a	12	78	H		agree
04614_p2_L03_a	13	85	H		agree
04614_p2_L03_a	15	221	H	A:22 1	settled on page image (AX-COMP)
04614_p2_L03_a	16	81	H		agree
04614_p2_L03_a	17	32	H		agree
04614_p2_L03_a	19	241	H	A:24 1	settled on page image (AX-COMP)
04614_p2_L03_a	20	15	H		agree
04614_p2_L03_a	21	6	H		agree
04614_p2_L03_a	22	40	H		agree
04614_p2_L03_a	23	21	H		agree
04614_p2_L03_a	24	111	H		agree
04614_p2_L03_a	25	81	H		agree
04614_p2_L03_b	1	26	H		agree
04614_p2_L03_b	2	61	H		agree
04614_p2_L03_b	3	37	H		agree
04614_p2_L03_b	4	31	H		agree
04614_p2_L03_b	5	23	H		agree
04614_p2_L03_b	6	82	H		agree
04614_p2_L03_b	7	30	H		agree
04614_p2_L03_b	8	78	H		agree
04614_p2_L03_b	9	36	H		agree
04614_p2_L03_b	10	81	H		agree
04614_p2_L03_b	11	57	H		agree
04614_p2_L03_b	12	116	H		agree
04614_p2_L03_b	13	9	H		agree
04614_p2_L03_b	14	101	H		agree
04614_p2_L03_b	15	20	M		agree-flagged
04614_p2_L03_b	16	61	H		agree
04614_p2_L03_b	17	26	H		agree
04614_p2_L03_b	18	72	H		agree
04614_p2_L03_b	19	63	H		agree
04614_p2_L03_b	20	37	H		agree
04614_p2_L03_b	21	9	H		agree
04614_p2_L03_b	22	21	H		agree
04614_p2_L03_b	23	16	M		agree-flagged
04614_p2_L03_b	24	40	H		agree
04614_p2_L03_c	1	105	H		agree
04614_p2_L03_c	2	112	H		agree
04614_p2_L03_c	3	60	M		agree-flagged
04614_p2_L03_c	4	112	H		agree
04614_p2_L03_c	5	82	H		agree
04614_p2_L03_c	6	2	M	A:-	gap
04614_p2_L03_c	7	14	H		agree
04614_p2_L03_c	8	63	H		agree
04614_p2_L03_c	9	52	H		agree
04614_p2_L03_c	10	85	H		agree
04614_p2_L03_c	11	24	H		agree
04614_p2_L03_c	12	10	H		agree
04614_p2_L03_c	13	5	H		agree
04614_p2_L03_c	14	31	H		agree
04614_p2_L03_c	15	114	H		agree
04614_p2_L03_c	16	64	H		agree
04614_p2_L03_c	17	24	H		agree
04614_p2_L03_c	18	84	H		agree
04614_p2_L03_c	19	27	H		agree
04614_p2_L03_c	20	33	H		agree
04614_p2_L03_c	21	85	H		agree
04614_p2_L03_c	22	76	H		agree
04614_p2_L03_c	23	39	H		agree
04614_p2_L03_d	1	13	H		agree
04614_p2_L03_d	2	21	H		agree
04614_p2_L03_d	3	82	H		agree
04614_p2_L03_d	4	117	H		agree
04614_p2_L03_d	5	101	H		agree
04614_p2_L03_d	6	22	H		agree
