line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	c1_01_001	1	0	58	27	26	_	5.719	0.41	MISC-33	
1	c1_01_002	2	32	60	17	25	PCT	4.675	0.62	MISC-13	
1	c1_01_003	3	54	62	27	19	TRIDENT	6.096	0.80	TRIDENT	M-RING
1	c1_01_004	4	91	58	17	22	X	4.047	0.80	X	MISC-M12
1	c1_01_005	5	117	59	15	20	MISC-71	6.286	0.40	MISC-71	MISC-M12
1	c1_01_006	6	141	68	26	9	_	3.569	0.53	DASH-H	M-TILDE
1	c1_01_007	7	177	57	15	25	MISC-37	6.508	0.21	MISC-03	M-TICK-V
1	c1_01_008	8	201	59	16	21	_	5.105	0.59	Y-CURL	
1	c1_01_009	9	218	55	20	23	MISC-82	6.060	0.40	MISC-82	M-TICK-V
1	c1_01_010	10	247	55	26	25	MISC-31	5.433	0.80	MISC-31	
1	c1_01_011	11	282	57	21	23	TRIPOD	5.809	0.21	MISC-46	M-TICK-V
1	c1_01_012	12	308	62	22	20	MISC-13	7.084	0.22	MISC-78	
1	c1_01_013	13	334	54	20	30	MISC-36	6.043	0.41	MISC-36	
1	c1_01_014	14	362	67	14	15	X	6.295	0.40	X	M-DASH-H|M-DASH-H
1	c1_01_015	15	391	54	29	26	MISC-31	5.834	0.81	MISC-31	
1	c1_01_016	16	431	56	22	23	_	5.368	0.63	MISC-33	
1	c1_01_017	17	457	37	98	52	_	6.247	0.41	MISC-60	
1	c1_01_018	18	561	58	19	22	X	3.858	0.57	X	M-DOT
1	c1_01_019	19	581	59	16	22	X	6.905	0.40	X	
1	c1_01_020	20	608	72	6	8	BAR-SOLID	4.239	1.00	BAR-SOLID	
1	c1_01_021	21	616	72	5	7	MISC-55	3.226	1.00	MISC-55	
1	c1_01_022	22	623	69	12	12	X	3.559	1.00	X	M-TILDE
2	c1_02_001	1	0	107	46	49	SUN	4.343	0.81	SUN	
2	c1_02_002	2	64	132	12	23	_	7.035	0.40	MISC-87	
