line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	c2b_01_001	1	131	46	17	28	_	5.759	0.60	X	M-TICK-V
1	c2b_01_002	2	147	47	11	11	EYE-DOT	5.082	0.42	CIRC-TAIL	
1	c2b_01_003	3	153	45	15	29	MISC-17	3.750	0.56	TRIPOD	
1	c2b_01_004	4	163	58	18	16	X	7.858	0.60	X	
1	c2b_01_005	5	185	48	18	34	X	5.705	0.61	X	
1	c2b_01_006	6	209	36	25	47	PHI	4.493	1.00	PHI	
1	c2b_01_007	7	237	42	86	51	MISC-29	8.292	0.60	MISC-29	
1	c2b_01_008	8	322	55	7	17	BAR-THIN	4.852	0.61	BAR-THIN	
1	c2b_01_009	9	331	56	9	16	BAR-SERIF	4.852	0.41	BAR-THIN	M-DASH-H
1	c2b_01_010	10	353	55	16	22	_	6.535	0.39	CROSS-T	M-DOT-FLAG
1	c2b_01_011	11	357	95	32	8	DASH-H	6.082	0.62	DASH-H	
1	c2b_01_012	12	375	52	5	22	BAR-THIN	3.961	1.00	BAR-THIN	
1	c2b_01_013	13	392	51	17	22	X	4.650	0.60	X	M-DOT
1	c2b_01_014	14	416	48	19	32	TRIPOD	3.759	0.46	TRIPOD	M-DOT-FLAG|M-RING
1	c2b_01_015	15	443	50	20	27	Y-CURL	5.996	0.41	MISC-87	
1	c2b_01_016	16	467	62	9	9	EYE-DOT	5.441	0.41	CIRC-TAIL	
1	c2b_01_017	17	472	50	16	21	X	6.399	0.38	X	
1	c2b_01_018	18	486	50	9	10	EYE-DOT	5.131	0.41	EYE-DOT	
1	c2b_01_019	19	497	49	56	33	MISC-29	6.458	0.60	MISC-29	
1	c2b_01_020	20	562	48	19	29	_	4.030	0.82	X	
1	c2b_01_021	21	588	42	22	40	PHI	3.410	0.82	PHI	
1	c2b_01_022	22	615	51	19	21	VEE	5.990	0.83	VEE	M-RING
1	c2b_01_023	23	642	48	21	26	CROSS-T	6.219	0.62	CROSS-T	
1	c2b_01_024	24	666	51	33	26	_	5.925	0.41	X	M-DASH-H
1	c2b_01_025	25	704	66	7	10	BAR-SOLID	4.658	0.77	BAR-SOLID	
1	c2b_01_026	26	724	42	21	29	DELTA-TAIL	4.378	0.80	DELTA-TAIL	M-TILDE
1	c2b_01_027	27	741	49	29	30	X	5.664	0.61	X	
1	c2b_01_028	28	775	43	27	32	MISC-05	5.932	0.40	MISC-07	
1	c2b_01_029	29	816	53	31	20	_	6.322	0.22	TRIDENT	M-TILDE
1	c2b_01_030	30	855	46	20	27	_	4.589	0.39	TRIPOD	M-TICK-V
1	c2b_01_031	31	887	40	22	35	_	5.611	0.40	MISC-03	
1	c2b_01_032	32	913	51	8	23	BAR-THIN	4.355	0.83	BAR-THIN	
1	c2b_01_033	33	932	43	23	32	MISC-13	5.434	0.42	MISC-13	
1	c2b_01_034	34	962	54	20	18	_	5.537	0.22	CRESCENT	M-DOT|MISC-M12
1	c2b_01_035	35	993	51	28	26	MISC-82	6.067	0.61	MISC-82	M-TILDE
1	c2b_01_036	36	1030	50	36	20	CROSS-T	6.110	0.21	MISC-24	M-DOT|M-DOT|M-DOT
1	c2b_01_037	37	1098	6	5	20	BAR-THIN	3.961	0.82	BAR-THIN	
2	c2b_02_001	1	134	112	16	30	VEE	5.956	0.41	MISC-75	M-LOOP-SM|M-DASH-H
2	c2b_02_002	2	154	115	15	27	_	5.066	0.59	PCT	
2	c2b_02_003	3	164	106	45	38	MISC-43	6.660	0.61	MISC-43	
2	c2b_02_004	4	206	115	24	28	MISC-05	6.344	0.39	MISC-41	M-DOT-FLAG
2	c2b_02_005	5	382	124	91	26	MISC-29	6.176	0.43	MISC-29	M-DASH-H
2	c2b_02_006	6	480	120	22	25	_	6.744	0.40	MISC-40	
2	c2b_02_007	7	503	123	17	23	_	3.898	0.62	X	M-TICK-V
2	c2b_02_008	8	523	115	21	35	LOOP-TAIL	5.556	1.00	LOOP-TAIL	
2	c2b_02_009	9	550	128	8	12	BAR-SOLID	3.673	0.59	BAR-SOLID	
2	c2b_02_010	10	559	106	27	55	Y-CURL	6.953	0.40	Y-CURL	
