line	signs_A	signs_B	agree	columns	share
05811_p1_L01	13	0	0	13	0.000
05811_p1_L04	21	21	18	21	0.857
05811_p1_L05	21	21	21	21	1.000
05811_p1_L06	21	21	20	21	0.952
05811_p1_L07	21	21	21	21	1.000
05811_p1_L08	21	21	20	21	0.952
05811_p1_L09	19	17	15	19	0.789
05811_p1_L12	16	16	15	16	0.938
05811_p1_L13	22	22	22	22	1.000
05811_p1_L14	23	21	16	23	0.696
05811_p1_L15	19	19	17	19	0.895
05811_p1_L16	19	19	18	19	0.947
05811_p1_L17	20	20	17	20	0.850
05811_p1_L18	19	19	17	19	0.895
05811_p1_L19	20	20	20	20	1.000
05811_p1_L20	20	20	19	20	0.950
05811_p1_L21	18	18	16	18	0.889
05811_p1_L22	20	20	20	20	1.000
05811_p1_L23	17	17	16	17	0.941
05811_p1_L24	20	20	20	20	1.000
05811_p1_L25	18	18	18	18	1.000
05811_p1_L26	17	17	16	17	0.941
05811_p1_L27	18	18	18	18	1.000
05811_p1_L28	19	19	18	19	0.947
05811_p1_L29	20	20	20	20	1.000
05811_p1_L30	19	19	16	19	0.842
