line	sign	truth
r013	12	p
r013	62	a
r013	21	r
r013	112	l
r013	91	g
r013	16	q
r013	36	u
r013	82	e
r013	44	v
r013	114	l
r013	81	e
r013	102	i
r013	63	a
r013	51	y
r013	37	u
r013	85	e
r013	40	u
r013	39	u
r013	6	o
r013	26	s
r013	32	t
r013	22	r
r013	83	e
r013	76	d
r013	84	e
r013	111	l
r013	103	i
r013	66	b
r013	84	e
r013	24	r
r013	64	a
r013	31	t
r013	105	i
r013	7	o
r013	5	n
r013	77	d
r013	85	e
r013	58	z
r013	84	e
r013	9	o
r013	104	i
r013	23	r
r013	63	a
r013	37	u
r013	81	e
r013	71	c
r013	38	u
r013	9	o
r013	58	z
r013	35	t
r013	23	r
r013	8	o
r013	57	z
r013	11	p
r013	13	p
r013	81	e
r013	27	s
r013	13	p
r013	61	a
r013	25	r
r013	78	d
r013	81	e
r013	73	c
r013	64	a
r013	81	e
r013	33	t
r013	63	a
r013	75	c
r013	85	e
r013	28	s
r013	31	t
r013	82	e
r013	88	f
r013	87	f
r013	84	e
r013	71	c
r013	32	t
r013	14	p
r013	3	n
r013	83	e
r013	2	n
r013	79	d
r013	24	r
r013	85	e
r013	39	u
r013	9	o
r013	26	s
r013	33	t
r013	21	r
r013	81	e
r013	75	c
r013	100	h
r013	85	e
r013	117	m
r013	53	y
r013	2	n
r013	82	e
r013	3	n
r013	37	u
r013	21	r
r013	85	e
r013	92	g
r013	23	r
r013	61	a
r013	37	u
r013	82	e
r013	81	e
r013	35	t
r013	27	s
r013	2	n
r016	85	e
r016	35	t
r016	61	a
r016	54	y
r016	63	a
r016	2	n
r016	33	t
r016	22	r
r016	81	e
r016	74	c
r016	83	e
r016	37	u
r016	38	u
r016	8	o
r016	27	s
r016	32	t
r016	2	n
r016	81	e
r016	114	l
r016	82	e
r016	31	t
r016	33	t
r016	23	r
r016	85	e
r016	104	i
r016	62	a
r016	51	y
r016	102	i
r016	3	n
r016	71	c
r016	6	o
r016	2	n
r016	31	t
r016	104	i
r016	4	n
r016	85	e
r016	9	o
r016	31	t
r016	81	e
r016	27	s
r016	73	c
r016	22	r
r016	101	i
r016	14	p
r016	31	t
r016	84	e
r016	31	t
r016	118	m
r016	63	a
r016	2	n
r016	78	d
r016	81	e
r016	66	b
r016	2	n
r016	38	u
r016	1	n
r016	85	e
r016	70	b
r016	7	o
r016	14	p
r016	82	e
r016	11	p
r016	62	a
r016	23	r
r016	32	t
r016	104	i
r016	83	e
r016	80	d
r016	81	e
r016	119	m
r016	81	e
r016	26	s
r016	72	c
r016	62	a
r016	12	p
r016	102	i
r016	35	t
r016	62	a
r016	101	i
r016	2	n
r016	85	e
r016	27	s
r016	18	q
r016	38	u
r016	105	i
r016	114	l
r016	28	s
r016	64	a
r016	51	y
r016	82	e
r016	2	n
r016	31	t
r016	64	a
r016	37	u
r016	11	p
r016	113	l
r016	37	u
r016	28	s
r016	35	t
r016	6	o
r016	28	s
r016	34	t
r016	64	a
r016	28	s
r016	81	e
r016	31	t
r016	26	s
r016	9	o
r016	38	u
r016	37	u
r016	81	e
r016	22	r
r016	82	e
r016	27	s
r016	82	e
r016	2	n
r016	37	u
r016	104	i
r016	21	r
r016	8	o
r016	2	n
r016	29	s
r016	78	d
r016	84	e
r016	113	l
r016	32	t
r016	104	i
r016	82	e
r016	114	l
r016	116	m
r016	37	u
r016	23	r
r016	83	e
r016	30	s
r016	72	c
r016	81	e
r016	27	s
r016	16	q
r016	37	u
r016	62	a
r016	11	p
r016	31	t
r016	103	i
r016	84	e
r016	23	r
r016	28	s
r016	104	i
r016	61	a
r016	38	u
r016	8	o
r016	34	t
r016	27	s
r016	24	r
r016	84	e
r016	79	d
r016	82	e
r016	11	p
r016	37	u
r016	6	o
r016	105	i
r016	24	r
r016	7	o
r016	104	i
r016	13	p
r016	81	e
r016	28	s
r016	18	q
r016	37	u
r016	85	e
r016	105	i
r016	82	e
r016	71	c
r016	23	r
r016	61	a
r016	4	n
r016	2	n
r016	27	s
r016	16	q
r016	38	u
r016	81	e
r016	113	l
r016	84	e
r016	31	t
r016	52	y
r016	83	e
r016	27	s
r016	64	a
r016	29	s
r016	26	s
r016	85	e
r016	59	z
r016	81	e
r016	27	s
r016	31	t
r016	23	r
r016	8	o
r016	104	i
r016	72	c
r016	32	t
r016	11	p
r016	8	o
r016	38	u
r016	21	r
r016	114	l
r016	64	a
r016	83	e
r016	33	t
r016	34	t
r016	8	o
r016	38	u
r016	35	t
r016	81	e
r016	26	s
r016	87	f
r016	9	o
r016	105	i
r016	27	s
r016	89	f
r016	37	u
r016	26	s
r016	77	d
r016	6	o
r016	2	n
r016	3	n
r016	83	e
r016	23	r
r016	9	o
r016	2	n
r016	28	s
r016	10	o
r016	23	r
r016	79	d
r016	22	r
r016	82	e
