plain_line	plain_raw	cipher_line	cipher_raw
07206_p2_pc1	wvo p transcribed by eye from the wvo pdf page rendered at dpi single pass not yet crosschecked against a second reader grade m for words but the identification of this page as the clear decipherment of the p pp cipher stretch is corroborated independently its opening phrase and its voiage de mons de lumbres entre le roy de pollogne et le duc de saxe passage match the ciphers own wording and code positions oneforone messieurs mes freres mes dernieres vous depuis ceste escripte me sont venuz deux lettres et aussi retenu grande partie de la payne ou jusques a present suis este esperant que le seigneur dieu donnera sa grace que par voz bonnes diligences les choses seront mises en tel train que lexecution au jour et lieu denomez sortira bon et heureux effect et ce pendant je ne vous feray icy aultre response a vosdictes lettres seullement vous diray que ne fauldray pardera de donner ordre a toutes choses necessaires et mesbatz dieu ne trouveray icy personne a boomel pour vous y attendre et	07206_p3_L04a	142 139 138 127 130 81 31 61 36 26 27 51 121 21 82 111 83 37 84 91 22 62 1 76 85 12 11 63 23 32 101 82 6 36 102 37 26 16 38 84 27 62 127 12 23 81 29 85 3 33 30 39 103 27 84 28 32 81 130 Esperant que le Sr Dieu donnera sa grace 121 136 17 38 85 13 64 24 40 8 57 66 7 2 4 81 29 77 103 112 105 92 83 4 72 84 30 114 82 29 72 98 9 27 82 29 27 81 24 10 5 35 116 104 26 83 3 33 84 115 34 24 63 101 2 18 40 84 112 81 46 82 71 30 8 4 131 64 38 104 7 37 22 84 33 113 105 81 39 127 130 79 85 2 8 117 119 84 27 10 22 32 103 24 63 70 8 4 81 33 9 83 36 25 82 39 47 84 89 88 82 75 34 142 127 131 Et cependant je ne vous feray icy aultre responce a vos lettres, sinon vous diray que je ne fauldray. 129 147 15 65 22 76 84 75 63 73 2 83 22 10 22 80 25 81 64 35 6 36 31 84 29 136 75 100 9 30 81 29 2 85 74 82 28 27 62 102 24 83 28 82 33 119 62 52 79 64 5 31 77 101 83 38 120 81 34 21 9 37 36 81 23 64 51 127 81 5 12 81 22 30 6 2 1 82 64 137 217 11 7 38 23 40 9 39 28 130 54 131 62 34 33 82 2 78 22 82 129 81 75
07206_p3_L04a	avec vous	07206_p3_L04b	137 126 121 62 38 84 72 39 7 36 27
07206_p3_L05a	pour vre cavallerie et aussi a la fanterie et toutesfois si oultre les quatre mille landsknechtz vous eussiez	07206_p3_L06c	139 14 6 39 21 38 10 27 33 21 81 115 335 84 34 64 37 28 27 64 112 132 336 139 85 34 33 7 36 34 83 29 90 10 104 27 28 103 9 37 115 34 22 83 114 85 29 17 36 61 33 21 84 116 103 113 82 339 141 37 9 39 27 83 39 29 27 103 84 56 123
07206_p3_L06c	deux mille franoy	07206_p3_L06c	137 79 84 39 49 119 104 113 340 140
07206_p3_L07a	si dieu vous donne la grace de prendre mastrich estant la ville de grande garde vous y pourriez laisser mille franois et mille landsknechtz nous amenant icy la reste	07206_p3_L09c	78 105 81 37 137 38 10 36 27 76 7 2 1 84 112 62 93 23 64 72 83 78 84 128 12 23 82 2 78 24 83 125 276 136 82 27 31 62 2 32 113 62 312 77 81 94 22 64 1 77 84 93 64 24 80 81 40 10 38 29 62 13 9 37 22 25 103 84 60 114 62 28 27 85 25 118 102 339 150 82 33 117 104 115 340 149 3 7 36 26 127 131 126 62 148 82 4 63 3 35 105 74 54 112 63 24 83 28 32 85
07206_p3_L10a	monsieur de lumbres	07206_p3_L10a	150 139 172
07206_p3_L10b	le roy de pollogne et le duc de saxe qui est en soubcon que le roy de pollogne se vouldroit emparer du royaulme de denamarcque	07206_p3_L13a	120 147 128 113 82 24 7 54 79 83 14 8 112 7 101 2 94 3 83 127 82 34 196 126 18 36 104 83 27 33 83 2 27 6 38 12 73 9 4 129 20 38 81 111 83 25 7 53 77 81 11 6 112 7 103 4 92 3 83 127 28 81 131 82 119 13 62 24 81 21 76 37 23 6 11 63 38 118 82 76 81 208 128
07206_p3_L13a	cedit lumbres	07206_p3_L13a	122 127 129 172 130
07206_p3_L13b	le duc de saxe se mectroit en quelque jalousie contre nous	07206_p4_L01	143 196 27 83 128 117 82 73 32 21 8 105 33 84 2 18 37 83 112 17 37 81 128 104 64 113 6 37 28 103 83 73 7 3 34 24 85 4 8 38 27 150
07206_p4_L03	le roy de pollogne y marche de bon pied ne	07206_p4_L05	149 121 112 82 24 8 54 80 82 11 9 111 8 91 123 54 120 61 23 75 100 83 79 81 68 10 5 15 102 83 80 137 2 84
07206_p4_L06	duc de saxe ny de soy papes	07206_p4_L07	146 141 196 136 3 55 77 85 28 6 5 311
07206_p4_L07	son amytie et le passage de denamarcque pour tant plus librement tenir sa correspondance avec langleterr	07206_p4_L11	27 10 5 64 117 103 33 104 84 83 35 112 82 12 62 28 27 63 103 92 81 77 81 138 208 127 13 9 38 21 32 64 2 34 13 115 36 27 113 101 69 21 82 120 8 33 82 4 104 23 30 61 73 7 2 23 82 28 13 8 1 80 82 1 78 63 38 81 72 113 65 122 202 131
07206_p4_L12	le voiage dudit lumbres	07206_p4_L13	143 114 82 38 9 101 61 54 77 83 150 172 122
