order	djvu_line	raw	cleaned	doubtful	clear_words_around
1	45234	37.	37	no	The [[37.]] 24. 80. 36. 54.
2	45234	24.	24	no	The 37. [[24.]] 80. 36. 54. 38.
3	45234	80.	80	no	The 37. 24. [[80.]] 36. 54. 38. 142.
4	45234	36.	36	no	The 37. 24. 80. [[36.]] 54. 38. 142. 6j.
5	45234	54.	54	no	37. 24. 80. 36. [[54.]] 38. 142. 6j. 82.
6	45234	38.	38	no	24. 80. 36. 54. [[38.]] 142. 6j. 82. 32.
7	45234	142.	142	no	80. 36. 54. 38. [[142.]] 6j. 82. 32. 68.
8	45234	6j.	6j?	yes	36. 54. 38. 142. [[6j.]] 82. 32. 68. 21.
9	45234	82.	82	no	54. 38. 142. 6j. [[82.]] 32. 68. 21. 42.
10	45234	32.	32	no	38. 142. 6j. 82. [[32.]] 68. 21. 42. 72.
11	45234	68.	68	no	142. 6j. 82. 32. [[68.]] 21. 42. 72. 33.
12	45234	21.	21	no	6j. 82. 32. 68. [[21.]] 42. 72. 33. 6<).
13	45234	42.	42	no	82. 32. 68. 21. [[42.]] 72. 33. 6<). 36.
14	45234	72.	72	no	32. 68. 21. 42. [[72.]] 33. 6<). 36. A.
15	45234	33.	33	no	68. 21. 42. 72. [[33.]] 6<). 36. A. D.
16	45234	6<).	6<?	yes	21. 42. 72. 33. [[6<).]] 36. A. D. loj;.
17	45234	36.	36	no	42. 72. 33. 6<). [[36.]] A. D. loj;.
18	45237	27.	27	no	[[27.]] 28. s^' 57- 62.
19	45237	28.	28	no	27. [[28.]] s^' 57- 62. 24.
20	45237	57-	57	no	27. 28. s^' [[57-]] 62. 24. 37. 36.
21	45237	62.	62	no	27. 28. s^' 57- [[62.]] 24. 37. 36. 24.
22	45237	24.	24	no	28. s^' 57- 62. [[24.]] 37. 36. 24. 25.
23	45237	37.	37	no	s^' 57- 62. 24. [[37.]] 36. 24. 25. 54.
24	45237	36.	36	no	57- 62. 24. 37. [[36.]] 24. 25. 54. 66.
25	45237	24.	24	no	62. 24. 37. 36. [[24.]] 25. 54. 66. 36.
26	45237	25.	25	no	24. 37. 36. 24. [[25.]] 54. 66. 36. 28.
27	45237	54.	54	no	37. 36. 24. 25. [[54.]] 66. 36. 28. 32.
28	45237	66.	66	no	36. 24. 25. 54. [[66.]] 36. 28. 32. 26.
29	45237	36.	36	no	24. 25. 54. 66. [[36.]] 28. 32. 26. 31.
30	45237	28.	28	no	25. 54. 66. 36. [[28.]] 32. 26. 31. 24.
31	45237	32.	32	no	54. 66. 36. 28. [[32.]] 26. 31. 24. 24-
32	45237	26.	26	no	66. 36. 28. 32. [[26.]] 31. 24. 24- 38.
33	45237	31.	31	no	36. 28. 32. 26. [[31.]] 24. 24- 38. 33.
34	45237	24.	24	no	28. 32. 26. 31. [[24.]] 24- 38. 33. ^°'
35	45237	24-	24	no	32. 26. 31. 24. [[24-]] 38. 33. ^°' o^'""
36	45237	38.	38	no	26. 31. 24. 24- [[38.]] 33. ^°' o^'""
37	45237	33.	33	no	31. 24. 24- 38. [[33.]] ^°' o^'""
38	45237	^°'	^0?	yes	24. 24- 38. 33. [[^°']] o^'""
39	45240	20.	20	no	[[20.]] 25. 63. 94. 31.
40	45240	25.	25	no	20. [[25.]] 63. 94. 31. 24.
41	45240	63.	63	no	20. 25. [[63.]] 94. 31. 24. 66.
42	45240	94.	94	no	20. 25. 63. [[94.]] 31. 24. 66. 142.
43	45240	31.	31	no	20. 25. 63. 94. [[31.]] 24. 66. 142. 38.
44	45240	24.	24	no	25. 63. 94. 31. [[24.]] 66. 142. 38. 63.
45	45240	66.	66	no	63. 94. 31. 24. [[66.]] 142. 38. 63. 69.
46	45240	142.	142	no	94. 31. 24. 66. [[142.]] 38. 63. 69. 22.
47	45240	38.	38	no	31. 24. 66. 142. [[38.]] 63. 69. 22. 27.
48	45240	63.	63	no	24. 66. 142. 38. [[63.]] 69. 22. 27. 27.
49	45240	69.	69	no	66. 142. 38. 63. [[69.]] 22. 27. 27. 28.
